"";"ICD-10";"PQI_num";"PQI_lab";"ICD-10-label";"Classification";"PQI_Composite";"Composite_label"
"61";"E1065";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 1 diabetes mellitus with hyperglycemia";"ACDIAUD";"PQI_90";"Prevention_Quality_Overall_Composite"
"62";"E1065";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 1 diabetes mellitus with hyperglycemia";"ACSLEAD";"PQI_93";"Prevention_Quality_Diabetes_Composite"
"63";"E1065";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 1 diabetes mellitus with hyperglycemia";"ACSLEAD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"64";"E1065";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 1 diabetes mellitus with hyperglycemia";"ACSLEAD";"PQI_90";"Prevention_Quality_Overall_Composite"
"65";"J4522";"PQI_15";"Asthma_in_Younger_Adults_Admission_Rate";"Mild intermittent asthma with status asthmaticus";"ACSASTD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"66";"J4522";"PQI_15";"Asthma_in_Younger_Adults_Admission_Rate";"Mild intermittent asthma with status asthmaticus";"ACSASTD";"PQI_90";"Prevention_Quality_Overall_Composite"
"67";"E1011";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 1 diabetes mellitus with ketoacidosis with coma";"ACDIASD";"PQI_93";"Prevention_Quality_Diabetes_Composite"
"68";"E1011";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 1 diabetes mellitus with ketoacidosis with coma";"ACDIASD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"69";"E1011";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 1 diabetes mellitus with ketoacidosis with coma";"ACDIASD";"PQI_90";"Prevention_Quality_Overall_Composite"
"70";"E1011";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 1 diabetes mellitus with ketoacidosis with coma";"ACSLEAD";"PQI_93";"Prevention_Quality_Diabetes_Composite"
"71";"E1011";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 1 diabetes mellitus with ketoacidosis with coma";"ACSLEAD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"72";"E1011";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 1 diabetes mellitus with ketoacidosis with coma";"ACSLEAD";"PQI_90";"Prevention_Quality_Overall_Composite"
"73";"E1110";"PQI_01";"Diabetes_Short-term_Complications_Admission_Rate";"Type 2 diabetes mellitus with ketoacidosis without coma";"ACDIASD";NA;NA
"74";"E1110";"PQI_01";"Diabetes_Short-term_Complications_Admission_Rate";"Type 2 diabetes mellitus with ketoacidosis without coma";"ACSLEAD";NA;NA
"75";"E1122";"PQI_03";"Diabetes_Long-term_Complications_Admission_Rate";"Type 2 diabetes mellitus with diabetic chronic kidney disease";"ACDIALD";NA;NA
"76";"E1122";"PQI_03";"Diabetes_Long-term_Complications_Admission_Rate";"Type 2 diabetes mellitus with diabetic chronic kidney disease";"ACSLEAD";NA;NA
"77";"J440";"PQI_05";"Chronic_Obstructive_Pulmonary_Disease_(COPD)_or_Asthma_in_Older_Adults_Admission_Rate";"Chronic obstructive pulmonary disease with acute lower respiratory infection";"ACCOPDD";NA;NA
"78";"I161";"PQI_07";"Hypertension_Admission_Rate";"Hypertensive emergency";"ACSHYPD";NA;NA
"79";"I5042";"PQI_08";"Heart_Failure_Admission_Rate";"Chronic combined systolic (congestive) and diastolic (congestive) heart failure";"MRTCHFD";NA;NA
"80";"J160";"PQI_11";"Community_Acquired _Pneumonia_Admission_Rate";"Chlamydial pneumonia";"ACSBACD";"PQI_91";"Prevention_Quality_Acute_Composite"
"81";"N3000";"PQI_12";"Urinary_Tract_Infection_Admission_Rate";"Acute cystitis without hematuria";"ACSUTID";"PQI_91";"Prevention_Quality_Acute_Composite"
"82";"N3000";"PQI_12";"Urinary_Tract_Infection_Admission_Rate";"Acute cystitis without hematuria";"ACSUTID";"PQI_90";"Prevention_Quality_Overall_Composite"
"83";"E1165";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 2 diabetes mellitus with hyperglycemia";"ACDIAUD";"PQI_93";"Prevention_Quality_Diabetes_Composite"
"84";"E1165";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 2 diabetes mellitus with hyperglycemia";"ACDIAUD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"85";"E1165";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 2 diabetes mellitus with hyperglycemia";"ACDIAUD";"PQI_90";"Prevention_Quality_Overall_Composite"
"86";"E1165";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 2 diabetes mellitus with hyperglycemia";"ACSLEAD";"PQI_93";"Prevention_Quality_Diabetes_Composite"
"87";"E1165";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 2 diabetes mellitus with hyperglycemia";"ACSLEAD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"88";"E1165";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 2 diabetes mellitus with hyperglycemia";"ACSLEAD";"PQI_90";"Prevention_Quality_Overall_Composite"
"89";"J45901";"PQI_15";"Asthma_in_Younger_Adults_Admission_Rate";"Unspecified asthma with (acute) exacerbation";"ACSASTD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"90";"J45901";"PQI_15";"Asthma_in_Younger_Adults_Admission_Rate";"Unspecified asthma with (acute) exacerbation";"ACSASTD";"PQI_90";"Prevention_Quality_Overall_Composite"
"91";"E113532";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye";"ACDIALD";"PQI_93";"Prevention_Quality_Diabetes_Composite"
"92";"E113532";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye";"ACDIALD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"93";"E113532";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye";"ACDIALD";"PQI_90";"Prevention_Quality_Overall_Composite"
"94";"E113532";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye";"ACSLEAD";"PQI_93";"Prevention_Quality_Diabetes_Composite"
"95";"E113532";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye";"ACSLEAD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"96";"E113532";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye";"ACSLEAD";"PQI_90";"Prevention_Quality_Overall_Composite"
"97";"E10641";"PQI_01";"Diabetes_Short-term_Complications_Admission_Rate";"Type 1 diabetes mellitus with hypoglycemia with coma";"ACDIASD";NA;NA
"98";"E10641";"PQI_01";"Diabetes_Short-term_Complications_Admission_Rate";"Type 1 diabetes mellitus with hypoglycemia with coma";"ACSLEAD";NA;NA
"99";"E1029";"PQI_03";"Diabetes_Long-term_Complications_Admission_Rate";"Type 1 diabetes mellitus with other diabetic kidney complication";"ACDIALD";NA;NA
"100";"E1029";"PQI_03";"Diabetes_Long-term_Complications_Admission_Rate";"Type 1 diabetes mellitus with other diabetic kidney complication";"ACSLEAD";NA;NA
"101";"J418";"PQI_05";"Chronic_Obstructive_Pulmonary_Disease_(COPD)_or_Asthma_in_Older_Adults_Admission_Rate";"Mixed simple and mucopurulent chronic bronchitis";"ACCOPDD";NA;NA
"102";"I129";"PQI_07";"Hypertension_Admission_Rate";"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease";"ACSHY2D";NA;NA
"103";"I129";"PQI_07";"Hypertension_Admission_Rate";"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease";"ACSHYPD";NA;NA
"104";"I130";"PQI_08";"Heart_Failure_Admission_Rate";"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease";"MRTCHFD";NA;NA
"105";"J15211";"PQI_11";"Community_Acquired _Pneumonia_Admission_Rate";"Pneumonia due to Methicillin susceptible Staphylococcus aureus";"ACSBACD";"PQI_91";"Prevention_Quality_Acute_Composite"
"106";"N151";"PQI_12";"Urinary_Tract_Infection_Admission_Rate";"Renal and perinephric abscess";"ACSUTID";"PQI_91";"Prevention_Quality_Acute_Composite"
"107";"N151";"PQI_12";"Urinary_Tract_Infection_Admission_Rate";"Renal and perinephric abscess";"ACSUTID";"PQI_90";"Prevention_Quality_Overall_Composite"
"108";"J4531";"PQI_15";"Asthma_in_Younger_Adults_Admission_Rate";"Mild persistent asthma with (acute) exacerbation";"ACSASTD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"109";"J4531";"PQI_15";"Asthma_in_Younger_Adults_Admission_Rate";"Mild persistent asthma with (acute) exacerbation";"ACSASTD";"PQI_90";"Prevention_Quality_Overall_Composite"
"110";"E1021";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 1 diabetes mellitus with diabetic nephropathy";"ACDIALD";"PQI_93";"Prevention_Quality_Diabetes_Composite"
"111";"E1021";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 1 diabetes mellitus with diabetic nephropathy";"ACDIALD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"112";"E1021";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 1 diabetes mellitus with diabetic nephropathy";"ACDIALD";"PQI_90";"Prevention_Quality_Overall_Composite"
"113";"E1021";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 1 diabetes mellitus with diabetic nephropathy";"ACSLEAD";"PQI_93";"Prevention_Quality_Diabetes_Composite"
"114";"E1021";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 1 diabetes mellitus with diabetic nephropathy";"ACSLEAD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"115";"E1021";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 1 diabetes mellitus with diabetic nephropathy";"ACSLEAD";"PQI_90";"Prevention_Quality_Overall_Composite"
"116";"E1111";"PQI_01";"Diabetes_Short-term_Complications_Admission_Rate";"Type 2 diabetes mellitus with ketoacidosis with coma";"ACDIASD";NA;NA
"117";"E1111";"PQI_01";"Diabetes_Short-term_Complications_Admission_Rate";"Type 2 diabetes mellitus with ketoacidosis with coma";"ACSLEAD";NA;NA
"118";"E1129";"PQI_03";"Diabetes_Long-term_Complications_Admission_Rate";"Type 2 diabetes mellitus with other diabetic kidney complication";"ACDIALD";NA;NA
"119";"E1129";"PQI_03";"Diabetes_Long-term_Complications_Admission_Rate";"Type 2 diabetes mellitus with other diabetic kidney complication";"ACSLEAD";NA;NA
"120";"J441";"PQI_05";"Chronic_Obstructive_Pulmonary_Disease_(COPD)_or_Asthma_in_Older_Adults_Admission_Rate";"Chronic obstructive pulmonary disease with (acute) exacerbation";"ACCOPDD";NA;NA
"121";"I169";"PQI_07";"Hypertension_Admission_Rate";"Hypertensive crisis, unspecified";"ACSHYPD";NA;NA
"122";"I5043";"PQI_08";"Heart_Failure_Admission_Rate";"Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure";"MRTCHFD";NA;NA
"123";"J168";"PQI_11";"Community_Acquired _Pneumonia_Admission_Rate";"Pneumonia due to other specified infectious organisms";"ACSBACD";"PQI_91";"Prevention_Quality_Acute_Composite"
"124";"N3001";"PQI_12";"Urinary_Tract_Infection_Admission_Rate";"Acute cystitis with hematuria";"ACSUTID";"PQI_91";"Prevention_Quality_Acute_Composite"
"125";"N3001";"PQI_12";"Urinary_Tract_Infection_Admission_Rate";"Acute cystitis with hematuria";"ACSUTID";"PQI_90";"Prevention_Quality_Overall_Composite"
"126";"J45902";"PQI_15";"Asthma_in_Younger_Adults_Admission_Rate";"Unspecified asthma with status asthmaticus";"ACSASTD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"127";"J45902";"PQI_15";"Asthma_in_Younger_Adults_Admission_Rate";"Unspecified asthma with status asthmaticus";"ACSASTD";"PQI_90";"Prevention_Quality_Overall_Composite"
"128";"E113533";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral";"ACDIALD";"PQI_93";"Prevention_Quality_Diabetes_Composite"
"129";"E113533";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral";"ACDIALD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"130";"E113533";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral";"ACDIALD";"PQI_90";"Prevention_Quality_Overall_Composite"
"131";"E113533";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral";"ACSLEAD";"PQI_93";"Prevention_Quality_Diabetes_Composite"
"132";"E113533";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral";"ACSLEAD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"133";"E113533";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral";"ACSLEAD";"PQI_90";"Prevention_Quality_Overall_Composite"
"134";"E1100";"PQI_01";"Diabetes_Short-term_Complications_Admission_Rate";"Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)";"ACDIASD";NA;NA
"135";"E1100";"PQI_01";"Diabetes_Short-term_Complications_Admission_Rate";"Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)";"ACSLEAD";NA;NA
"136";"E10311";"PQI_03";"Diabetes_Long-term_Complications_Admission_Rate";"Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema";"ACDIALD";NA;NA
"137";"E10311";"PQI_03";"Diabetes_Long-term_Complications_Admission_Rate";"Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema";"ACSLEAD";NA;NA
"138";"J42";"PQI_05";"Chronic_Obstructive_Pulmonary_Disease_(COPD)_or_Asthma_in_Older_Adults_Admission_Rate";"Unspecified chronic bronchitis";"ACCOPDD";NA;NA
"139";"I1310";"PQI_07";"Hypertension_Admission_Rate";"Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease";"ACSHY2D";NA;NA
"140";"I1310";"PQI_07";"Hypertension_Admission_Rate";"Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease";"ACSHYPD";NA;NA
"141";"I132";"PQI_08";"Heart_Failure_Admission_Rate";"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease";"IMMUNID";NA;NA
"142";"I132";"PQI_08";"Heart_Failure_Admission_Rate";"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease";"MRTCHFD";NA;NA
"143";"J15212";"PQI_11";"Community_Acquired _Pneumonia_Admission_Rate";"Pneumonia due to Methicillin resistant Staphylococcus aureus";"ACSBACD";"PQI_91";"Prevention_Quality_Acute_Composite"
